geoid_o,geoid_d,month_year,visitor_flows,pop_flows,date_range
25025000202,25025090901,2021-05,21,1288.0,05/03/21 - 05/09/21
25025000202,25025090901,2021-06,25,1502.0,06/07/21 - 06/13/21
25025000202,25025090901,2021-07,8,473.0,07/05/21 - 07/11/21
25025000202,25025090901,2021-08,8,536.0,08/23/21 - 08/29/21
25025000202,25025091700,2021-06,8,473.0,06/07/21 - 06/13/21
25025000202,25025092000,2021-01,8,421.0,01/18/21 - 01/24/21
25025000202,25025092101,2021-05,8,500.0,05/03/21 - 05/09/21
25025000202,25025100500,2021-08,11,751.0,08/09/21 - 08/15/21
25025000202,25025100800,2021-01,12,608.0,01/04/21 - 01/10/21
25025000202,25025100800,2021-03,10,548.0,03/15/21 - 03/21/21
25025000202,25025101001,2021-10,8,461.0,10/11/21 - 10/17/21
25025000202,25025110301,2021-07,8,481.0,07/05/21 - 07/11/21
25025000202,25025110301,2021-11,16,865.0,11/08/21 - 11/14/21
25025000202,25025110401,2021-03,16,867.0,03/01/21 - 03/07/21
25025000202,25025110401,2021-05,8,484.0,05/03/21 - 05/09/21
25025000202,25025110502,2021-11,15,918.0,11/01/21 - 11/07/21
25025000202,25025110607,2021-03,8,438.0,03/01/21 - 03/07/21
25025000202,25025120103,2021-08,8,552.0,08/16/21 - 08/22/21
25025000202,25025120201,2021-04,8,460.0,04/12/21 - 04/18/21
